Time Stamp (ms),qw,qx,qy,qz
37094,0,0,0,0
37128,0,0,0,0
37161,0,0,0,0
37195,0,0,0,0
37228,0,0,0,0
37262,0,0,0,0
37296,0,0,0,0
37329,0,0,0,0
37363,0,0,0,0
37397,0,0,0,0
37429,0,0,0,0
37463,0,0,0,0
37497,0,0,0,0
37530,0,0,0,0
37564,0,0,0,0
37597,0,0,0,0
37632,0,0,0,0
37665,0,0,0,0
37698,0,0,0,0
37732,0,0,0,0
37767,0,0,0,0
37799,0,0,0,0
37832,0,0,0,0
37866,0,0,0,0
37901,0,0,0,0
37933,0,0,0,0
37967,0,0,0,0
38001,0,0,0,0
38034,0,0,0,0
38071,0,0,0,0
38102,0,0,0,0
38136,0,0,0,0
38169,0,0,0,0
38202,0,0,0,0
38238,0,0,0,0
38271,0,0,0,0
38306,0,0,0,0
38338,0,0,0,0
38372,0,0,0,0
38406,0,0,0,0
38439,0,0,0,0
38472,0,0,0,0
38506,0,0,0,0
38539,0,0,0,0
38572,0,0,0,0
38606,0,0,0,0
38640,0,0,0,0
38674,0,0,0,0
38707,0,0,0,0
38740,0,0,0,0
38775,0,0,0,0
38809,0,0,0,0
38842,0,0,0,0
38876,0,0,0,0
38909,0,0,0,0
38942,0,0,0,0
38976,0,0,0,0
39009,0,0,0,0
39043,0,0,0,0
39077,0,0,0,0
39110,0,0,0,0
39143,0,0,0,0
39177,0,0,0,0
39212,0,0,0,0
39244,0,0,0,0
39278,0,0,0,0
39311,0,0,0,0
39344,0,0,0,0
39377,0,0,0,0
39411,0,0,0,0
39445,0,0,0,0
39479,0,0,0,0
39512,0,0,0,0
39545,0,0,0,0
39580,0,0,0,0
39613,0,0,0,0
39647,0,0,0,0
39679,0,0,0,0
39713,0,0,0,0
39747,0,0,0,0
39780,0,0,0,0
39813,0,0,0,0
39847,0,0,0,0
39881,0,0,0,0
39915,0,0,0,0
39948,0,0,0,0
39982,0,0,0,0
40015,0,0,0,0
40049,0,0,0,0
40082,0,0,0,0
40116,0,0,0,0
40149,0,0,0,0
40183,0,0,0,0
40216,0,0,0,0
40250,0,0,0,0
40283,0,0,0,0
40318,0,0,0,0
40351,0,0,0,0
40385,0,0,0,0
40417,0,0,0,0
40451,0,0,0,0
40485,0,0,0,0
40518,0,0,0,0
40552,0,0,0,0
40586,0,0,0,0
40619,0,0,0,0
40653,0,0,0,0
40687,0,0,0,0
40721,0,0,0,0
40755,0,0,0,0
40787,0,0,0,0
40822,0,0,0,0
40855,0,0,0,0
40889,0,0,0,0
40923,0,0,0,0
40957,0,0,0,0
40990,0,0,0,0
41024,0,0,0,0
41057,0,0,0,0
41091,0,0,0,0
41124,0,0,0,0
41156,0,0,0,0
41190,0,0,0,0
41225,0,0,0,0
41258,0,0,0,0
41292,0,0,0,0
41326,0,0,0,0
41360,0,0,0,0
41393,0,0,0,0
41427,0,0,0,0
41460,0,0,0,0
41494,0,0,0,0
41528,0,0,0,0
41560,0,0,0,0
41594,0,0,0,0
41629,0,0,0,0
41662,0,0,0,0
41695,0,0,0,0
41730,0,0,0,0
41763,0,0,0,0
41796,0,0,0,0
41830,0,0,0,0
41863,0,0,0,0
41897,0,0,0,0
41930,0,0,0,0
41963,0,0,0,0
41996,0,0,0,0
42031,0,0,0,0
42064,0,0,0,0
42098,0,0,0,0
42132,0,0,0,0
42165,0,0,0,0
42198,0,0,0,0
42231,0,0,0,0
42265,0,0,0,0
42297,0,0,0,0
42331,0,0,0,0
42365,0,0,0,0
42398,0,0,0,0
42432,0,0,0,0
